County,Force_2009,Employed_2009,Unemployed_2009,UnemployedPercent_2009,Force_2010,Employed_2010,Unemployed_2010,UnemployedPercent_2010,Force_2011,Employed_2011,Unemployed_2011,UnemployedPercent_2011,Force_2012,Employed_2012,Unemployed_2012,UnemployedPercent_2012,StayDays_2009,AvgStay_2009,Sev1_2009,Sev2_2009,Sev3_2009,Sev4_2009,Sev0_2009,AvgSev_2009,Charges_2009,AvgCharges_2009,DeltaPercent_2009,StayDays_2010,AvgStay_2010,Sev1_2010,Sev2_2010,Sev3_2010,Sev4_2010,Sev0_2010,AvgSev_2010,Charges_2010,AvgCharges_2010,DeltaPercent_2010,StayDays_2011,AvgStay_2011,Sev1_2011,Sev2_2011,Sev3_2011,Sev4_2011,Sev0_2011,AvgSev_2011,Charges_2011,AvgCharges_2011,DeltaPercent_2011,StayDays_2012,AvgStay_2012,Sev1_2012,Sev2_2012,Sev3_2012,Sev4_2012,Sev0_2012,AvgSev_2012,Charges_2012,AvgCharges_2012,DeltaPercent_2012
Albany,158430,147552,10878,6.9,156572,145391,11181,7.1,154031,142924,11107,7.2,155153,143680,11473,7.4,331391,5.294293382752341,20394,22271,15184,4745,0,2.0683771607502317,1.8291912131499982E9,29223.10785618427,0.00,329308,5.2974920772806975,19441,22367,15531,4823,1,2.0922413654424656,1.97870431351005E9,31830.90123562328,-0.01,330952,5.318121193617329,19385,21791,15863,5190,2,2.110138034098761,2.1643894831199255E9,34779.924525074726,0.00,330641,5.364239592459198,19757,21090,15482,5306,3,2.102712612349525,2.245846035019976E9,36436.06273759655,-0.00
Allegheny,23827,21723,2104,8.8,24353,22126,2227,9.1,23918,21807,2111,8.8,23721,21698,2023,8.5,8550,3.21066466391288,1140,886,526,111,0,1.8527975966954562,1.8779067920000006E7,7051.8467592940315,0.00,7121,3.115048118985127,969,670,509,138,0,1.9195100612423448,1.6424459740000002E7,7184.803035870517,-0.17,7826,3.060617911615174,1056,798,581,122,0,1.9096597575283536,1.7226511509999998E7,6737.000981619084,0.10,6649,3.187440076701822,801,687,486,111,1,1.9544582933844679,1.6753111130000003E7,8031.213389261747,-0.15
Bronx,534768,470992,63776,11.9,546583,476734,69849,12.8,544665,477178,67487,12.4,551847,481999,69848,12.7,1161066,5.533259624274426,82427,78199,38825,10362,21,1.8907707997750602,5.949790186689698E9,28354.747975493476,0.00,1119796,5.486829210928619,73249,77421,41783,11618,17,1.9595076633609032,5.864917168079377E9,28737.19752302623,-0.04,1106498,5.558671342020919,68399,75639,42447,12561,12,1.9957097931256216,6.25699221791969E9,31433.010569380232,-0.01,1080901,5.593278137128072,62737,74178,43495,12831,9,2.0331280724450194,6.611222558999405E9,34210.72475549498,-0.02
Broome,97207,89171,8036,8.3,95898,87299,8599,9,93431,85392,8039,8.6,92438,84259,8179,8.8,154165,5.14672497830006,10132,11077,6941,1802,2,2.0136542698804836,4.972580520500004E8,16600.722843359832,0.00,144874,4.983968625292418,9433,10591,7048,1996,0,2.055284161277006,5.374865694299972E8,18490.66222065492,-0.06,146380,5.007868628121793,8952,10366,7646,2264,2,2.1100923708518646,5.808777822200096E8,19872.657619569265,0.01,147637,4.944803563653415,9777,10513,7224,2342,1,2.0713065612754127,6.332291299700016E8,21208.73262451022,0.01
Cattaraugus,41545,37917,3628,8.7,41304,37540,3764,9.1,40350,36782,3568,8.8,39991,36414,3577,8.9,44760,4.987742366837531,3388,3309,1889,388,0,1.9194339202139514,8.204164168000029E7,9142.148616001816,0.00,34547,4.49479573250065,2740,2761,1810,375,0,1.9765807962529274,7.189932951000018E7,9354.5835948478,-0.23,31751,4.476385168475963,2624,2572,1584,312,1,1.9410686592415056,6.883254920000029E7,9704.292852107752,-0.08,23090,3.978976391521627,1927,1905,1532,438,1,2.082543511976564,6.481089370999896E7,11168.51520075805,-0.27
Cayuga,41465,37995,3470,8.4,41126,37660,3466,8.4,40604,37416,3188,7.9,40557,37257,3300,8.1,26910,4.672686230248307,1396,2434,1689,240,0,2.1342246917867684,7.911178240000026E7,13737.069352318156,0.00,27417,4.8915254237288135,1300,2508,1590,207,0,2.1256021409455843,8.204032547000052E7,14636.989379125873,0.02,30126,5.338649654439128,1419,2529,1508,187,0,2.0820485557327664,8.713555379000036E7,15441.352789296538,0.10,27642,4.840980735551664,1469,2550,1471,220,0,2.0774080560420316,8.410337633000042E7,14729.137711033347,-0.08
Chemung,40899,37205,3694,9,40838,37342,3496,8.6,40382,37163,3219,8,39964,36502,3462,8.7,92418,5.369081508162435,5784,6819,3743,866,1,1.9819322605007843,2.6637791205000052E8,15475.391393133128,0.00,92620,5.333717247336597,5487,7038,3970,870,0,2.012841923409156,2.9296632481999856E8,16871.08118744593,0.00,89503,5.217921063370839,5403,6765,4140,845,0,2.0248936046172683,2.913334862699997E8,16984.404259896208,-0.03,85879,5.127716742297587,5177,6354,4239,978,0,2.060783377119656,2.9530213592999995E8,17632.083587891088,-0.04
Chenango,24336,22136,2200,9,24258,22053,2205,9.1,24620,22541,2079,8.4,24844,22756,2088,8.4,8584,4.136867469879518,838,738,426,73,0,1.8718072289156626,2.8998133149999984E7,13975.003927710835,0.00,9047,4.071557155715571,842,832,459,89,0,1.9077407740774077,3.365307105000004E7,15145.396512151234,0.05,9036,4.08499095840868,856,797,459,100,0,1.9109403254972874,3.403790356999998E7,15387.840673598543,-0.00,7580,3.776781265570503,780,630,480,117,0,1.9671150971599403,3.3388971089999977E7,16636.258639760825,-0.16
Clinton,39674,35930,3744,9.4,39166,35146,4020,10.3,38151,34343,3808,10,37692,33976,3716,9.9,60155,5.174623655913979,3831,4844,2486,464,0,1.9641290322580645,2.185329581800003E8,18798.534036989273,0.00,60676,5.246066055680442,3665,4747,2618,536,0,2.0021615078678887,2.3576703033000016E8,20384.491641881392,0.01,57146,5.65522018802573,3038,4187,2328,552,0,2.038990598713508,2.2651313478999975E8,22415.946045521996,-0.06,56195,5.669962667742912,3027,4119,2250,514,1,2.0251236000403594,2.455136798400002E8,24771.83733629303,-0.02
Columbia,31335,28997,2338,7.5,30774,28425,2349,7.6,30460,28195,2265,7.4,30667,28383,2284,7.4,29691,4.915728476821192,1710,2356,1658,316,0,2.096026490066225,7.758328348999958E7,12844.914485099267,0.00,27371,4.569449081803005,1672,2326,1634,358,0,2.113188647746244,7.623065513999979E7,12726.319722871418,-0.08,27129,4.725483365267375,1556,2262,1568,355,0,2.1257620623584743,7.785300077000031E7,13560.878029959991,-0.01,29014,4.81001326259947,1658,2397,1673,303,1,2.1026193633952253,9.150402639000015E7,15169.765648209574,0.07
