Albany,158430,147552,10878,6.9,156572,145391,11181,7.1,154031,142924,11107,7.2,155153,143680,11473,7.4
Allegheny,23827,21723,2104,8.8,24353,22126,2227,9.1,23918,21807,2111,8.8,23721,21698,2023,8.5
Bronx,534768,470992,63776,11.9,546583,476734,69849,12.8,544665,477178,67487,12.4,551847,481999,69848,12.7
Broome,97207,89171,8036,8.3,95898,87299,8599,9,93431,85392,8039,8.6,92438,84259,8179,8.8
Cattaraugus,41545,37917,3628,8.7,41304,37540,3764,9.1,40350,36782,3568,8.8,39991,36414,3577,8.9
Cayuga,41465,37995,3470,8.4,41126,37660,3466,8.4,40604,37416,3188,7.9,40557,37257,3300,8.1
Chautauqua,65737,60209,5528,8.4,64858,59118,5740,8.9,63044,57982,5062,8,62702,57378,5324,8.5
Chemung,40899,37205,3694,9,40838,37342,3496,8.6,40382,37163,3219,8,39964,36502,3462,8.7
Chenango,24336,22136,2200,9,24258,22053,2205,9.1,24620,22541,2079,8.4,24844,22756,2088,8.4
Clinton,39674,35930,3744,9.4,39166,35146,4020,10.3,38151,34343,3808,10,37692,33976,3716,9.9
Columbia,31335,28997,2338,7.5,30774,28425,2349,7.6,30460,28195,2265,7.4,30667,28383,2284,7.4
Cortland,24235,21995,2240,9.2,24200,22000,2200,9.1,24240,22165,2075,8.6,24324,22183,2141,8.8
Delaware,22199,20276,1923,8.7,22105,20130,1975,8.9,21612,19725,1887,8.7,21566,19655,1911,8.9
Dutchess,144400,133175,11225,7.8,146725,135247,11478,7.8,145003,133965,11038,7.6,144874,133413,11461,7.9
Erie,469242,430674,38568,8.2,466301,427480,38821,8.3,461693,424825,36868,8,462497,423943,38554,8.3
Essex,18289,16601,1688,9.2,18082,16356,1726,9.5,17691,16027,1664,9.4,17630,15877,1753,9.9
Franklin,22962,20984,1978,8.6,22749,20673,2076,9.1,22393,20332,2061,9.2,22256,20097,2159,9.7
Fulton,27169,24524,2645,9.7,27217,24437,2780,10.2,26802,24086,2716,10.1,26698,23872,2826,10.6
Genesee,32997,30446,2551,7.7,32644,30085,2559,7.8,32008,29565,2443,7.6,31747,29253,2494,7.9
Greene,24008,21982,2026,8.4,24037,21955,2082,8.7,23597,21509,2088,8.8,23466,21263,2203,9.4
Hamilton,3006,2778,228,7.6,2974,2724,250,8.4,2911,2672,239,8.2,2991,2733,258,8.6
Herkimer,31077,28572,2505,8.1,31444,28757,2687,8.5,30596,27957,2639,8.6,30291,27570,2721,9
Jefferson,49369,44949,4420,9,49807,45046,4761,9.6,48850,43984,4866,10,48149,43267,4882,10.1
Kings,1121965,1011576,110389,9.8,1123305,1007807,115498,10.3,1124851,1014948,109903,9.8,1138237,1025201,113036,9.9
Lewis,12716,11586,1130,8.9,12622,11452,1170,9.3,12416,11202,1214,9.8,12208,10970,1238,10.1
Livingston,32047,29317,2730,8.5,32516,29744,2772,8.5,32062,29492,2570,8,32082,29411,2671,8.3
Madison,35980,33034,2946,8.2,36378,33345,3033,8.3,35972,32979,2993,8.3,35839,32733,3106,8.7
Manhattan,933518,855447,78071,8.4,925096,850338,74758,8.1,924688,855500,69188,7.5,936614,864142,72472,7.7
Monroe,374249,344457,29792,8,370765,340872,29893,8.1,368538,340256,28282,7.7,368654,339322,29332,8
Montgomery,24357,22024,2333,9.6,24043,21637,2406,10,23700,21334,2366,10,23686,21228,2458,10.4
Nassau,690713,642355,48358,7,688309,639362,48947,7.1,684833,638050,46783,6.8,691336,642463,48873,7.1
Niagara,113353,102704,10649,9.4,112135,101754,10381,9.3,110464,101020,9444,8.5,110773,100810,9963,9
Oneida,110281,102034,8247,7.5,109365,100702,8663,7.9,107085,98201,8884,8.3,105982,96844,9138,8.6
Onondaga,232913,214871,18042,7.7,231017,212169,18848,8.2,227908,210031,17877,7.8,226856,208464,18392,8.1
Ontario,56776,52601,4175,7.4,56750,52418,4332,7.6,56654,52520,4134,7.3,56617,52376,4241,7.5
Orange,179937,165660,14277,7.9,175986,161378,14608,8.3,174406,160456,13950,8,174281,159796,14485,8.3
Orleans,19322,17497,1825,9.4,19345,17404,1941,10,19006,17238,1768,9.3,19188,17191,1997,10.4
Oswego,59861,53908,5953,9.9,58487,52144,6343,10.8,57706,51676,6030,10.4,57345,51290,6055,10.6
Otsego,31541,29136,2405,7.6,31681,29255,2426,7.7,31470,29011,2459,7.8,31339,28832,2507,8
Putnam,54834,51110,3724,6.8,54324,50568,3756,6.9,53869,50212,3657,6.8,53785,50169,3616,6.7
Queens,1131719,1037433,94286,8.3,1121931,1024418,97513,8.7,1119179,1028127,91052,8.1,1132491,1038514,93977,8.3
Rensselaer,83635,77349,6286,7.5,83156,76601,6555,7.9,81677,75444,6233,7.6,82325,75843,6482,7.9
Richmond,246600,226541,20059,8.1,241777,220500,21277,8.8,240363,220425,19938,8.3,243318,222652,20666,8.5
Rockland,153364,142649,10715,7,157003,145898,11105,7.1,156597,146158,10439,6.7,156849,146033,10816,6.9
Saratoga,121654,113827,7827,6.4,117855,109747,8108,6.9,116520,108740,7780,6.7,117508,109315,8193,7
Schenectady,76552,70907,5645,7.4,75589,69660,5929,7.8,74445,68769,5676,7.6,75068,69133,5935,7.9
Schoharie,15536,14138,1398,9,15655,14189,1466,9.4,15364,13904,1460,9.5,15450,13978,1472,9.5
Schuyler,10024,9176,848,8.5,9958,9137,821,8.2,10028,9232,796,7.9,9963,9122,841,8.4
Seneca,17154,15835,1319,7.7,17111,15723,1388,8.1,16878,15563,1315,7.8,16995,15650,1345,7.9
St Lawrence,49618,44691,4927,9.9,49422,44192,5230,10.6,48702,43579,5123,10.5,47957,42941,5016,10.5
Steuben,45885,41396,4489,9.8,45185,40664,4521,10,44435,40194,4241,9.5,44168,39827,4341,9.8
Suffolk,789409,731147,58262,7.4,785392,725262,60130,7.7,782414,723772,58642,7.5,789008,728777,60231,7.6
Sullivan,35276,32171,3105,8.8,35010,31752,3258,9.3,34295,31127,3168,9.2,34190,30903,3287,9.6
Tioga,26164,24021,2143,8.2,25394,23301,2093,8.2,24980,22934,2046,8.2,24709,22630,2079,8.4
Tompkins,56474,53118,3356,5.9,56959,53559,3400,6,56768,53430,3338,5.9,57036,53620,3416,6
Ulster,89670,82661,7009,7.8,88979,81642,7337,8.2,87432,80162,7270,8.3,87050,79369,7681,8.8
Warren,36320,33413,2907,8,35875,32823,3052,8.5,35601,32639,2962,8.3,35581,32508,3073,8.6
Washington,32407,29963,2444,7.5,32317,29792,2525,7.8,31993,29546,2447,7.6,31926,29427,2499,7.8
Wayne,47548,43539,4009,8.4,47863,43624,4239,8.9,47212,43314,3898,8.3,47248,43195,4053,8.6
Westchester,486110,451168,34942,7.2,476222,441216,35006,7.4,473375,440258,33117,7,474201,439882,34319,7.2
Wyoming,20968,19066,1902,9.1,20590,18662,1928,9.4,20216,18486,1730,8.6,20158,18396,1762,8.7
Yates,13190,12288,902,6.8,13218,12309,909,6.9,13100,12180,920,7,13096,12152,944,7.2
